image_id,image_path,mask_path,width,height,instance_count,image_sha256,mask_sha256
FudanPed00073,PNGImages/FudanPed00073.png,PedMasks/FudanPed00073_mask.png,516,392,2,dcce270c15ff5f3aabbe30cd15bb71c5c794494ad56fbf49be88045d6b284657,14a14b0effd7a7241d9e2ebb50a5dd7cdcdbf9da3de56a53d026e7ab67d601a9
FudanPed00058,PNGImages/FudanPed00058.png,PedMasks/FudanPed00058_mask.png,522,479,8,47802584f435e449f42e838834dc18c016e7bdfcedda9cee1a781d85d5e992fd,c45b4f7d40cffd237b2b9dae3aaddc9e4d727ae285058d69f06bec20fc51dd6a
FudanPed00049,PNGImages/FudanPed00049.png,PedMasks/FudanPed00049_mask.png,447,512,3,2e85899f0ff1c9fc63369ac06d3de9fc43e7fad8c012a6126d1061ac7751b743,56a698b12673e20a78199049149ad09522615ff28cbdcf45cec37b45093cacc9
PennPed00075,PNGImages/PennPed00075.png,PedMasks/PennPed00075_mask.png,368,322,1,3b06ac8106fd832fb473e98f06033e80dce34b298a2dd31890b2cece5429b318,e3da8243fba9031c9ef038c085cb4093b8f120dd617a48d494f36a0ae888d4eb
FudanPed00039,PNGImages/FudanPed00039.png,PedMasks/FudanPed00039_mask.png,493,487,2,7eeae79042f8f00c22658834e0d177eb0c9dd5ea1019cbde3dd4c5083786cb59,d8d971c5c1b13ed08721bef8d8ae900708ceae262b119e46b08f928b83232bb3
PennPed00004,PNGImages/PennPed00004.png,PedMasks/PennPed00004_mask.png,786,436,5,40fd028872365a0f41f3a0680075756c315879462e56e014e5bdc1f7d570087b,c0d2f2458078947b41ff9ec5ca6af92c54b6fa56be666ebc04d8c13263fe4d2d
PennPed00060,PNGImages/PennPed00060.png,PedMasks/PennPed00060_mask.png,505,351,5,939cd2ab0d63c3cb15bd1155071fe4e117140172893156e6b8b9c05a0c4a1cb8,0fb9a73fd660001f61c6ee2864ca9049b444f59da260fe1ff80819d0c3528544
PennPed00069,PNGImages/PennPed00069.png,PedMasks/PennPed00069_mask.png,388,345,2,b6577317e926129d8f5c2e0f0cabecd34289f85c0a6c28ff2abd4bacf170acc9,c8fe24348860d69161735ecfa35d6c6ca8172c510eba649e41dbe3fe4386bdad
FudanPed00052,PNGImages/FudanPed00052.png,PedMasks/FudanPed00052_mask.png,461,504,1,afe9b8fc9bf30d6dad10103565c1d899b36bc42d000bfa5206d9d0d17f5079dd,eebbb517156b826b07cfc7082cc649566b877da66a738c1dbbb93e40c8d13882
PennPed00051,PNGImages/PennPed00051.png,PedMasks/PennPed00051_mask.png,723,411,4,f3e251809bcdee9e21b26dbce82170ddd07a7dde77c2fd0a0bbb54b13957cb65,7705c426007f8f0a70dbc843e7fd9b45e8ea05cebbee1cd2aee2077be93a03a3
PennPed00041,PNGImages/PennPed00041.png,PedMasks/PennPed00041_mask.png,570,422,1,4791c942de2ca85e8eecf523a42d0df23d1a5679b52b23cfb267c0166a6046f2,b9d8cb1d3be82207100a5a603cf421c423c64836e2ac4eda0845301bd00f2eb4
PennPed00095,PNGImages/PennPed00095.png,PedMasks/PennPed00095_mask.png,512,375,2,a61e2030a7f644689b0508d64f112fb254141e986169b8322bab9954d71bcbf7,f9fea4ccb0635ce84a841797b8798f010abac3bccc3b9f2d25fec295a9686805
PennPed00066,PNGImages/PennPed00066.png,PedMasks/PennPed00066_mask.png,428,375,3,3bddf9720f91e34d0a6452f222050891f2d67ebce51662605a2fe49e6d55ad45,1d8e37dd408ee9490d468655dba28f06277199e04ee78fe0a954194f66467ad6
PennPed00017,PNGImages/PennPed00017.png,PedMasks/PennPed00017_mask.png,492,403,2,fe40f760d161188efa7afeb0fbd38a7a1b36a5b7d55112a0e7958cb9857b9311,f6842f930de9cdfbf98018102b105f0fcf8018c23e031ef12172acfe4aaaa4df
FudanPed00072,PNGImages/FudanPed00072.png,PedMasks/FudanPed00072_mask.png,375,349,1,22f05a6aa65f248f0cf122fb9ea842aa6d55ae73d67216f69686c830c7d913a8,71327fd59ad65f98d8a7001df2021eef4fa922d0dd803ec8dd4c20e639efaf4a
FudanPed00001,PNGImages/FudanPed00001.png,PedMasks/FudanPed00001_mask.png,559,536,2,130e9f9121b88ab69105f1685ce17625e97d0ef590adb9b9f076f62fc08b3343,21ce5211d6745a43c0d1a31d2574810bb592971e1207b0b4a0b22e350daa6671
PennPed00083,PNGImages/PennPed00083.png,PedMasks/PennPed00083_mask.png,371,341,2,2cd01d7951082b3786a98e5002b89f53af0c3042e9434107a9bb9eba5d801fe6,e728dfbc1c4fb380dc4a888c37cd504ed3a41b63f737534475db6acd374cef35
PennPed00037,PNGImages/PennPed00037.png,PedMasks/PennPed00037_mask.png,366,318,1,54a2b4caeff8b47e38160c8cc93eed14f341e5189dbad2ad29f90a238645925a,5c44c241f2dcb9965e8d53637bee7bd282d3fff300747512f6d7e189f6e1350d
PennPed00032,PNGImages/PennPed00032.png,PedMasks/PennPed00032_mask.png,374,344,1,43373527ea5a5c54ebff583e48f4469bb5a96f772809b9f871a7f8404df633c0,0338dcc4c2f7067d39798b9d66d9df41549041cbbd4dab38aafaded0d155edde
FudanPed00034,PNGImages/FudanPed00034.png,PedMasks/FudanPed00034_mask.png,309,351,1,fd3a874d822f03357cd213696f583bf990d50ee7a68463e5118c3b7a9b60d666,18667e7fac176093445389f6137115c098d8c80079a6097f5b4d05a5b2862d89
FudanPed00048,PNGImages/FudanPed00048.png,PedMasks/FudanPed00048_mask.png,585,559,4,805008af783d085a18edf81b3ba02d460844717ebba21058b4fd87aa9ebdf01f,140d202dd775f564901270694df16ef1ab4a1c0ef3099b9933549e81f99e4003
PennPed00049,PNGImages/PennPed00049.png,PedMasks/PennPed00049_mask.png,452,350,4,b0312d7f6cc901c7843769d62ee99ebba811a9a3462d17f04d407a933930f682,0414ae524d0e0bc176b8b2abd1c3607813fc8e65a7065b41669786a4d6afafe1
PennPed00046,PNGImages/PennPed00046.png,PedMasks/PennPed00046_mask.png,534,348,3,c98f12e7d68d32fd623a5a9607588a15b678371045849a6ddf3c268f81a40e9e,e0509b206bd454e5b2484cd2e074971dfd37b506a8c5381286bb6a4615f95bfc
PennPed00011,PNGImages/PennPed00011.png,PedMasks/PennPed00011_mask.png,508,376,2,4378bb3d4a611b7f2668597c8dd29a7d30b18dcd324bb99b8286896ec9ce084f,5f8ffcf67f605ab9a7ed4174352c99262a8ba41253806d6893086fc2592e4547
FudanPed00053,PNGImages/FudanPed00053.png,PedMasks/FudanPed00053_mask.png,541,580,2,d13b3932c3fad5cd25385e881fb1a119cb269dde8a3e8693f47482ca26f6337b,80d8c3ea09b9d59a9b5214379fa96e4dfbd42f1e5dba76032a340ef9f240be99
FudanPed00064,PNGImages/FudanPed00064.png,PedMasks/FudanPed00064_mask.png,546,420,3,b0c82705386da139d8de4a67f0c20d7d59bc0f8d6d8cea052db3b791b8399c07,b9f5436836baec2209167e02254653f83e641c01e27dfeb9407b1ad28dda3561
PennPed00023,PNGImages/PennPed00023.png,PedMasks/PennPed00023_mask.png,536,382,1,03543084adb0b7c14a7d3feef842d164c5e57e7c9cd8968a39f6060310d10bf5,48df85006c53921b3d0b6a91e3752e1cf159281497eb07d65e206d90e6452b56
PennPed00068,PNGImages/PennPed00068.png,PedMasks/PennPed00068_mask.png,603,387,4,b014e256a71271a51f8ae14cdad1c6aa07f19163e415789edb22838c05fcbaa7,fdff16f0cda7bb1a9054b62960d61c5cc86d1648107c607e04899a6344890b41
PennPed00096,PNGImages/PennPed00096.png,PedMasks/PennPed00096_mask.png,294,331,2,20613cb2aa60f654950c3275657f2892968f6e8b96cc13ad1fdf64a596976d46,ffa6000590ca93b65924d312bdabf8c1389b3130e6c27f763cbc8cadf437ba9c
FudanPed00023,PNGImages/FudanPed00023.png,PedMasks/FudanPed00023_mask.png,376,378,1,facdeafe8142db71085f3ae86c811fecd9a3aa00e0cd419ae88b00dbf93b5491,6b343a81e5bb6b55b768068b4db3263ccd667b368b83f59d6d7aadab6733171b
FudanPed00074,PNGImages/FudanPed00074.png,PedMasks/FudanPed00074_mask.png,421,370,2,68ae56c77337bff29fe652bf15a9568852a8e73a6729330cbb7bce9841f9054f,91db71e0a365adc8cd9a8057b5855fe9d4498c627a9e09609ea371c5beb14c7b
FudanPed00054,PNGImages/FudanPed00054.png,PedMasks/FudanPed00054_mask.png,533,498,3,15e193741fa3e38f197f97cdddc8efe0762620c19bb696731f829a7ce25c50fa,7b6d6ce51e915e3a5c669896a9fe0dc7e4ac016f438858351e866ebcad3ff52a
FudanPed00069,PNGImages/FudanPed00069.png,PedMasks/FudanPed00069_mask.png,354,379,1,6c70aea91ec97059cf2869afda30111178709d07b41a834bebbef7e41ca5f3ef,2a2285e7ef6f6994f70b2479fc448b584fbaf4ebe5fca0ab5faed44332d107b9
FudanPed00033,PNGImages/FudanPed00033.png,PedMasks/FudanPed00033_mask.png,396,357,1,3257fc93e746e2258ff273e4110c3ab0ce1f5867f472a69acf536f585f9f4509,5eb707da2363147162534bee59c0bc576ef25499402ca92eb7ec1db636b139bb
FudanPed00062,PNGImages/FudanPed00062.png,PedMasks/FudanPed00062_mask.png,414,341,2,afbff4b1411263f3df756bd3ad938d415c865dad7b683e789960206031d0114c,20fd072a9e12fce604a3c58a4f32de3a26d89d2cf4137709f5ec8b8112cef096
PennPed00087,PNGImages/PennPed00087.png,PedMasks/PennPed00087_mask.png,325,343,1,6a9c5effaef71340335c2aa16bc0af5424e93e845714236b4351202bcbfc2cd0,6480fa13ab48cd524f2a6a57cb81217fe56749875f2d1b34b4a1f630af9988b9
PennPed00039,PNGImages/PennPed00039.png,PedMasks/PennPed00039_mask.png,495,373,1,87daf6faa2c8d4aa76be2aedfc4fad9b1dd3f0edc9085115545f1f8251e4cb6a,14f20e95f3572d559554e3f302357e11cc4f7865ca7003d73c94054cf7ae002e
FudanPed00022,PNGImages/FudanPed00022.png,PedMasks/FudanPed00022_mask.png,536,465,2,90b0d600f87345555e4264e55137389ddb8a75e847b1828d13e31de5f812c45e,29c50ec6d945e31fb5f36859fc2459d15fd91e782e80171d8b9769a764c44fb0
PennPed00050,PNGImages/PennPed00050.png,PedMasks/PennPed00050_mask.png,419,315,1,9207c8dfe778e6e583de9c0d4befe42f2299aad6df1584845514b46b846d02cd,10225bdf0ffa43c6a425c9e9208af7bf61f326e516b1e14b4e5d0274afc56afb
